"Date","CPU Utilization"
"2015-07-06 05:40:00","4.0960000000e+01"
"2015-07-06 05:45:00","4.5966666667e+01"
"2015-07-06 05:50:00","3.4080000000e+01"
"2015-07-06 05:55:00","4.9893333333e+01"
"2015-07-06 06:00:00","4.3066666667e+00"
"2015-07-06 06:05:00","4.0000000000e+00"
"2015-07-06 06:10:00","4.9933333333e+00"
"2015-07-06 06:15:00","5.9933333333e+00"
"2015-07-06 06:20:00","5.0066666667e+00"
"2015-07-06 06:25:00","4.0066666667e+00"
"2015-07-06 06:30:00","4.9933333333e+00"
"2015-07-06 06:35:00","5.9933333333e+00"
"2015-07-06 06:40:00","6.0000000000e+00"
"2015-07-06 06:45:00","6.0000000000e+00"
"2015-07-06 06:50:00","5.0066666667e+00"
"2015-07-06 06:55:00","6.9866666667e+00"
"2015-07-06 07:00:00","1.5940000000e+01"
"2015-07-06 07:05:00","6.0666666667e+00"
"2015-07-06 07:10:00","9.9600000000e+00"
"2015-07-06 07:15:00","2.9866666667e+01"
"2015-07-06 07:20:00","2.4040000000e+01"
"2015-07-06 07:25:00","3.8900000000e+01"
"2015-07-06 07:30:00","3.0060000000e+01"
"2015-07-06 07:35:00","6.1600000000e+00"
"2015-07-06 07:40:00","3.4806666667e+01"
"2015-07-06 07:45:00","2.5100000000e+01"
"2015-07-06 07:50:00","3.5926666667e+01"
"2015-07-06 07:55:00","5.2066666667e+00"
"2015-07-06 08:00:00","5.0000000000e+00"
"2015-07-06 08:05:00","5.9933333333e+00"
"2015-07-06 08:10:00","5.6660000000e+01"
"2015-07-06 08:15:00","6.3400000000e+00"
"2015-07-06 08:20:00","2.1893333333e+01"
"2015-07-06 08:25:00","6.1066666667e+00"
"2015-07-06 08:30:00","3.0750000000e+01"
"2015-07-06 08:35:00","6.1666666667e+00"
"2015-07-06 08:40:00","1.7920000000e+01"
"2015-07-06 08:45:00","6.0800000000e+00"
"2015-07-06 08:50:00","1.2953333333e+01"
"2015-07-06 08:55:00","8.0333333333e+00"
"2015-07-06 09:00:00","2.7933333333e+01"
"2015-07-06 09:05:00","2.1070000000e+01"
"2015-07-06 09:10:00","3.2920000000e+01"
"2015-07-06 09:15:00","3.0020000000e+01"
"2015-07-06 09:20:00","5.1666666667e+00"
"2015-07-06 09:25:00","4.7713333333e+01"
"2015-07-06 09:30:00","6.2800000000e+00"
"2015-07-06 09:35:00","6.0000000000e+00"
"2015-07-06 09:40:00","6.9933333333e+00"
"2015-07-06 09:45:00","7.0000000000e+00"
"2015-07-06 09:50:00","5.0133333333e+00"
"2015-07-06 09:55:00","5.9933333333e+00"
"2015-07-06 10:00:00","6.0000000000e+00"
"2015-07-06 10:05:00","5.1100000000e+00"
"2015-07-06 10:10:00","8.1486666667e+01"
"2015-07-06 10:15:00","6.5066666667e+00"
"2015-07-06 10:20:00","5.0066666667e+00"
"2015-07-06 10:25:00","1.1953333333e+01"
"2015-07-06 10:30:00","1.3986666667e+01"
"2015-07-06 10:35:00","1.2013333333e+01"
"2015-07-06 10:40:00","1.1006666667e+01"
"2015-07-06 10:45:00","1.3980000000e+01"
"2015-07-06 10:50:00","2.2940000000e+01"
"2015-07-06 10:55:00","2.1013333333e+01"
"2015-07-06 11:00:00","3.8880000000e+01"
"2015-07-06 11:05:00","3.0060000000e+01"
"2015-07-06 11:10:00","4.1733333333e+00"
"2015-07-06 11:15:00","4.9933333333e+00"
"2015-07-06 11:20:00","5.9933333333e+00"
"2015-07-06 11:25:00","6.9933333333e+00"
"2015-07-06 11:30:00","6.0066666667e+00"
"2015-07-06 11:35:00","5.0066666667e+00"
"2015-07-06 11:40:00","5.0000000000e+00"
"2015-07-06 11:45:00","4.0066666667e+00"
"2015-07-06 11:50:00","7.9733333333e+00"
"2015-07-06 11:55:00","6.0133333333e+00"
"2015-07-06 12:00:00","6.0000000000e+00"
"2015-07-06 12:05:00","6.0000000000e+00"
"2015-07-06 12:10:00","4.0133333333e+00"
"2015-07-06 12:15:00","8.9666666667e+00"
"2015-07-06 12:20:00","6.0300000000e+00"
"2015-07-06 12:25:00","1.4940000000e+01"
"2015-07-06 12:30:00","1.0033333333e+01"
"2015-07-06 12:35:00","1.2980000000e+01"
"2015-07-06 12:40:00","1.6973333333e+01"
"2015-07-06 12:45:00","3.3886666667e+01"
"2015-07-06 12:50:00","2.6053333333e+01"
"2015-07-06 12:55:00","2.9973333333e+01"
"2015-07-06 13:00:00","4.8873333333e+01"
"2015-07-06 13:05:00","3.8073333333e+01"
"2015-07-06 13:10:00","9.1933333333e+00"
"2015-07-06 13:15:00","1.1980000000e+01"
"2015-07-06 13:20:00","5.0466666667e+00"
"2015-07-06 13:25:00","7.9700000000e+00"
"2015-07-06 13:30:00","7.0066666667e+00"
"2015-07-06 13:35:00","8.9866666667e+00"
"2015-07-06 13:40:00","6.0200000000e+00"
"2015-07-06 13:45:00","9.9733333333e+00"
"2015-07-06 13:50:00","5.0333333333e+00"
"2015-07-06 13:55:00","1.0960000000e+01"
"2015-07-06 14:00:00","8.0200000000e+00"
"2015-07-06 14:05:00","1.6940000000e+01"
"2015-07-06 14:10:00","6.0733333333e+00"
"2015-07-06 14:15:00","2.5866666667e+01"
"2015-07-06 14:20:00","2.1033333333e+01"
"2015-07-06 14:25:00","3.2920000000e+01"
"2015-07-06 14:30:00","2.2073333333e+01"
"2015-07-06 14:35:00","3.3920000000e+01"
"2015-07-06 14:40:00","3.5986666667e+01"
"2015-07-06 14:45:00","3.6993333333e+01"
"2015-07-06 14:50:00","7.2000000000e+00"
"2015-07-06 14:55:00","1.0973333333e+01"
"2015-07-06 15:00:00","6.0333333333e+00"
"2015-07-06 15:05:00","6.9933333333e+00"
"2015-07-06 15:10:00","5.0133333333e+00"
"2015-07-06 15:15:00","5.9933333333e+00"
"2015-07-06 15:20:00","6.0000000000e+00"
"2015-07-06 15:25:00","6.0000000000e+00"
"2015-07-06 15:30:00","6.9933333333e+00"
"2015-07-06 15:35:00","1.1966666667e+01"
